date,close,high,low,open,volume
2022-01-03,2899.83,2917.02,2874.255,2901.1,1433947
2022-01-04,2887.99,2929.6978,2874.325,2907.92,1419972
2022-01-05,2755.5,2889.9875,2753.76,2888.4,2730914
2022-01-06,2754.95,2798.8,2731.17,2739.97,1867371
2022-01-07,2740.34,2768.97,2715.33,2762.91,1488028
2022-01-10,2773.39,2776.39,2663.29,2701.56,2220406
2022-01-11,2794.72,2804.32,2733.845,2760.14,1436485
2022-01-12,2828.61,2852.155,2813.89,2823.0,1305602
2022-01-13,2771.74,2857.0,2768.18,2830.8,1571830
2022-01-14,2789.61,2814.84,2739.97,2741.58,1483064
2022-01-18,2719.96,2742.63,2708.765,2723.5,1744405
2022-01-19,2702.33,2759.19,2700.31,2730.47,1432382
2022-01-20,2666.15,2752.52,2659.2931,2725.0,1495357
2022-01-21,2607.03,2697.3106,2601.73,2651.87,2782571
2022-01-24,2616.08,2624.06,2490.0,2519.56,3834712
2022-01-25,2538.7,2587.98,2530.01,2574.8,2348028
2022-01-26,2584.66,2660.0,2542.84,2622.38,2456475
2022-01-27,2580.1,2653.045,2578.6458,2626.08,1600939
2022-01-28,2667.02,2667.13,2569.7,2593.18,1718074
2022-01-31,2706.07,2709.46,2644.19,2683.2399,1999300
2022-02-01,2752.88,2755.855,2687.37,2751.89,3432182
2022-02-02,2960.0,3030.9315,2910.4501,3025.0,6159961
2022-02-03,2861.8,2993.5,2853.3063,2914.11,3575861
2022-02-04,2865.86,2897.5,2810.3,2868.8927,2899911
2022-02-07,2784.02,2885.0,2778.0,2885.0,2748665
2022-02-08,2787.98,2800.0,2740.277,2780.53,2714180
2022-02-09,2831.84,2850.485,2803.7406,2819.27,2007194
2022-02-10,2772.4,2829.69,2759.14,2794.07,1966533
2022-02-11,2685.65,2783.125,2668.0,2772.0,1997917
2022-02-14,2710.52,2726.0,2665.13,2665.13,1715054
